id,name,category,tags,L_mm,W_mm,H_mm,wood_finish,texture,modules,panneaux,price_furniture_ttc_eur,price_model3d_ht_eur,price_json_ht_eur,scene,short_description,featured,active,sort_order,docs_ready,sku
table-basse-90,Table basse 90,table,"#table #salon #vernis_clair",900,500,400,chene,vernis_clair,shelf:1,dessus_exterieur|dessous,290,45,25,salon,Table basse géométrique — plateau optionnel structure légère,true,true,10,false,PHL-TAB-90-VC
table-basse-120,Table basse 120,table,"#table #salon #huile",1200,600,400,chene,huile,shelf:1,dessus_exterieur|dessous,360,45,25,salon,Table basse large ossature huile naturelle,false,true,15,false,PHL-TAB-120-HU
etagere-80,Étagère 80,etagere,"#etagere #salon #brut",800,350,1200,chene,brut,shelf:3,fond|joue1|joue2,320,45,25,salon,Étagère ouverte trois tablettes — ossature visible,true,true,20,false,PHL-ETA-80-BR
etagere-120,Étagère 120,etagere,"#etagere #salon #vernis_clair",1200,350,1400,chene,vernis_clair,shelf:4,fond|joue1|joue2,420,45,25,salon,Étagère large quatre tablettes,false,true,25,false,PHL-ETA-120-VC
banc-110,Banc 110,banc,"#banc #entree #brut",1100,400,450,chene,brut,,dessus_exterieur|dessous,210,45,25,salon,Banc d'appoint — assise panneau structure minimale,true,true,30,false,PHL-BAN-110-BR
banc-140,Banc 140,banc,"#banc #salon #huile",1400,420,450,chene,huile,,dessus_exterieur|dessous,280,45,25,salon,Banc long pour salon ou entrée,false,true,35,false,PHL-BAN-140-HU
buffet-120,Buffet 120,buffet,"#buffet #salon #vernis_fonce #tiroirs",1200,450,750,chene,vernis_fonce,drawer:2,fond|joue1|joue2|dessus_exterieur|dessous,420,45,25,salon,Buffet bas deux tiroirs — signature Philae,true,true,40,false,PHL-BUF-120-VF
console-140,Console 140,console,"#console #entree #vernis_clair",1400,380,850,chene,vernis_clair,,fond|dessus_exterieur|dessous,450,45,25,couloir,Console longue pour entrée — structure aérienne,true,true,50,false,PHL-CON-140-VC
colonne-60,Colonne 60,colonne,"#colonne #salon #huile #tablettes",600,400,1800,chene,huile,shelf:2,fond|joue1|joue2|porte|dessus_exterieur|dessous,380,45,25,salon,Colonne haute tablettes et porte,true,true,60,false,PHL-COL-60-HU
chevet-45,Chevet 45,chevet,"#chevet #chambre #brut #tiroir",450,350,550,chene,brut,drawer:1,fond|joue1|joue2|dessus_exterieur|dessous,180,45,25,chambre,Chevet compact un tiroir,false,true,70,false,PHL-CHE-45-BR
bibliotheque-100,Bibliothèque 100,bibliotheque,"#bibliotheque #salon #vernis_fonce #tablettes",1000,400,2000,chene,vernis_fonce,shelf:4,fond|joue1|joue2|dessus_exterieur|dessous,520,45,25,salon,Bibliothèque haute quatre tablettes,true,true,80,false,PHL-BIB-100-VF
cube-60,Cube 60,module,"#module #atelier #brut",600,600,600,chene,brut,,,220,45,25,atelier,Module cube ossature pure — base atelier,false,true,90,false,PHL-CUB-60-BR
cube-100,Cube 100,module,"#module #atelier #brut",1000,1000,1000,chene,brut,,,320,45,25,atelier,Module cube ossature pure — base atelier,false,true,90,false,PHL-CUB-100-BR
